period,date,region,trust_name,ae_type,total_attendances,within_4hrs,breaches_over_4hrs,pct_within_4hrs,emergency_admissions,avg_wait_minutes,over_12hr_waits
2021-08,2021-08-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,10132,7812,2320,77.1,2521,160,279
2021-08,2021-08-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 2 - Specialist,2261,2125,136,94.0,503,59,0
2021-08,2021-08-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 3 - Minor Injuries,2032,1856,176,91.3,326,80,0
2021-08,2021-08-01,South West,University Hospitals Bristol,Type 1 - Major A&E,5505,3799,1706,69.0,1525,159,105
2021-08,2021-08-01,South West,University Hospitals Bristol,Type 2 - Specialist,1042,823,219,79.0,330,109,0
2021-08,2021-08-01,South West,University Hospitals Bristol,Type 3 - Minor Injuries,3713,2317,1396,62.4,893,234,0
2021-08,2021-08-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,3868,3519,349,91.0,1317,36,8
2021-08,2021-08-01,South West,Royal Devon University Healthcare,Type 2 - Specialist,1227,959,268,78.1,365,144,0
2021-08,2021-08-01,South West,Royal Devon University Healthcare,Type 3 - Minor Injuries,2286,1821,465,79.6,448,108,0
2021-08,2021-08-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,7199,5296,1903,73.6,1939,143,246
2021-08,2021-08-01,South West,Plymouth Hospitals NHS Trust,Type 2 - Specialist,1646,1287,359,78.1,538,109,0
2021-08,2021-08-01,South West,Plymouth Hospitals NHS Trust,Type 3 - Minor Injuries,3165,2303,862,72.8,856,189,0
2021-08,2021-08-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,9878,8123,1755,82.2,2168,128,256
2021-08,2021-08-01,East of England,Cambridge University Hospitals,Type 2 - Specialist,1347,1174,173,87.1,350,80,0
2021-08,2021-08-01,East of England,Cambridge University Hospitals,Type 3 - Minor Injuries,2273,1575,698,69.3,366,177,0
2021-08,2021-08-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,8920,7874,1046,88.3,1542,83,43
2021-08,2021-08-01,East of England,Norfolk and Norwich,Type 2 - Specialist,782,620,162,79.2,120,103,0
2021-08,2021-08-01,East of England,Norfolk and Norwich,Type 3 - Minor Injuries,494,359,135,72.6,170,159,0
2021-08,2021-08-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,13558,11083,2475,81.7,4709,134,30
2021-08,2021-08-01,East of England,Addenbrookes Hospital Trust,Type 2 - Specialist,485,404,81,83.3,86,107,0
2021-08,2021-08-01,East of England,Addenbrookes Hospital Trust,Type 3 - Minor Injuries,1655,1161,494,70.1,338,171,0
2021-09,2021-09-01,London,Barts Health NHS Trust,Type 1 - Major A&E,6179,5285,894,85.5,1810,108,56
2021-09,2021-09-01,London,Barts Health NHS Trust,Type 2 - Specialist,1236,864,372,69.8,430,166,0
2021-09,2021-09-01,London,Barts Health NHS Trust,Type 3 - Minor Injuries,1864,1072,792,57.5,489,256,0
2021-09,2021-09-01,London,Imperial College Healthcare,Type 1 - Major A&E,5679,3445,2234,60.7,1386,214,165
2021-09,2021-09-01,London,Imperial College Healthcare,Type 2 - Specialist,4073,3012,1061,73.9,1262,141,0
2021-09,2021-09-01,London,Imperial College Healthcare,Type 3 - Minor Injuries,2000,1428,572,71.4,661,185,0
2021-09,2021-09-01,London,Kings College Hospital,Type 1 - Major A&E,12422,9458,2964,76.1,3137,126,286
2021-09,2021-09-01,London,Kings College Hospital,Type 2 - Specialist,3877,3396,481,87.6,798,81,0
2021-09,2021-09-01,London,Kings College Hospital,Type 3 - Minor Injuries,2583,1672,911,64.7,481,214,0
2021-09,2021-09-01,London,Guy's and St Thomas',Type 1 - Major A&E,3639,3266,373,89.7,961,87,43
2021-09,2021-09-01,London,Guy's and St Thomas',Type 2 - Specialist,2128,1401,727,65.8,556,205,0
2021-09,2021-09-01,London,Guy's and St Thomas',Type 3 - Minor Injuries,873,581,292,66.5,169,191,0
2021-09,2021-09-01,London,University College London Hospitals,Type 1 - Major A&E,14031,11003,3028,78.4,3854,140,359
2021-09,2021-09-01,London,University College London Hospitals,Type 2 - Specialist,765,489,276,63.9,199,198,0
2021-09,2021-09-01,London,University College London Hospitals,Type 3 - Minor Injuries,3764,2669,1095,70.9,1275,151,0
2021-09,2021-09-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,13542,11798,1744,87.1,2048,74,198
2021-09,2021-09-01,North West,Manchester University NHS Foundation Trust,Type 2 - Specialist,3887,3330,557,85.7,1130,68,0
2021-09,2021-09-01,North West,Manchester University NHS Foundation Trust,Type 3 - Minor Injuries,3115,2613,502,83.9,887,95,0
2021-09,2021-09-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,4572,3655,917,79.9,1518,99,106
2021-09,2021-09-01,North West,Liverpool University Hospitals,Type 2 - Specialist,1016,676,340,66.5,241,224,0
2021-09,2021-09-01,North West,Liverpool University Hospitals,Type 3 - Minor Injuries,1825,1190,635,65.2,360,193,0
2021-09,2021-09-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,4627,4007,620,86.6,1547,61,35
2021-09,2021-09-01,North West,Lancashire Teaching Hospitals,Type 2 - Specialist,3688,2478,1210,67.2,1033,198,0
2021-09,2021-09-01,North West,Lancashire Teaching Hospitals,Type 3 - Minor Injuries,2979,2726,253,91.5,999,42,0
2021-09,2021-09-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,11376,8250,3126,72.5,2349,184,161
2021-09,2021-09-01,North West,Bolton NHS Foundation Trust,Type 2 - Specialist,1293,884,409,68.3,358,217,0
2021-09,2021-09-01,North West,Bolton NHS Foundation Trust,Type 3 - Minor Injuries,783,534,249,68.1,214,197,0
2021-09,2021-09-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,10544,8287,2257,78.6,2298,110,3
2021-09,2021-09-01,Midlands,University Hospitals Birmingham,Type 2 - Specialist,3875,2857,1018,73.7,1196,186,0
2021-09,2021-09-01,Midlands,University Hospitals Birmingham,Type 3 - Minor Injuries,1810,1393,417,77.0,303,155,0
2021-09,2021-09-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,14451,9934,4517,68.7,4851,200,111
2021-09,2021-09-01,Midlands,Nottingham University Hospitals,Type 2 - Specialist,836,649,187,77.6,287,128,0
2021-09,2021-09-01,Midlands,Nottingham University Hospitals,Type 3 - Minor Injuries,3244,1971,1273,60.7,1073,224,0
2021-09,2021-09-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,13812,9544,4268,69.1,4672,203,4
2021-09,2021-09-01,Midlands,University Hospitals of Leicester,Type 2 - Specialist,993,734,259,73.9,318,175,0
2021-09,2021-09-01,Midlands,University Hospitals of Leicester,Type 3 - Minor Injuries,3486,2474,1012,71.0,597,197,0
2021-09,2021-09-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,6825,6240,585,91.4,2201,72,10
2021-09,2021-09-01,Midlands,Coventry and Warwickshire,Type 2 - Specialist,2988,2091,897,70.0,1015,195,0
2021-09,2021-09-01,Midlands,Coventry and Warwickshire,Type 3 - Minor Injuries,1480,1228,252,82.9,337,77,0
2021-09,2021-09-01,South East,Oxford University Hospitals,Type 1 - Major A&E,5414,3576,1838,66.0,1441,193,226
2021-09,2021-09-01,South East,Oxford University Hospitals,Type 2 - Specialist,3280,2723,557,83.0,859,122,0
2021-09,2021-09-01,South East,Oxford University Hospitals,Type 3 - Minor Injuries,1445,1079,366,74.7,245,174,0
2021-09,2021-09-01,South East,Brighton and Sussex,Type 1 - Major A&E,3264,2231,1033,68.3,637,217,92
2021-09,2021-09-01,South East,Brighton and Sussex,Type 2 - Specialist,818,680,138,83.1,139,96,0
2021-09,2021-09-01,South East,Brighton and Sussex,Type 3 - Minor Injuries,3286,2543,743,77.4,1030,162,0
2021-09,2021-09-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,5246,4382,864,83.5,938,98,6
2021-09,2021-09-01,South East,Royal Surrey NHS Foundation Trust,Type 2 - Specialist,2115,1603,512,75.8,560,171,0
2021-09,2021-09-01,South East,Royal Surrey NHS Foundation Trust,Type 3 - Minor Injuries,3833,3515,318,91.7,633,53,0
2021-09,2021-09-01,South East,East Kent Hospitals,Type 1 - Major A&E,5175,3353,1822,64.8,1353,193,23
2021-09,2021-09-01,South East,East Kent Hospitals,Type 2 - Specialist,1328,1200,128,90.3,247,35,0
2021-09,2021-09-01,South East,East Kent Hospitals,Type 3 - Minor Injuries,1191,893,298,75.0,250,154,0
2021-09,2021-09-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,11806,10868,938,92.0,3026,42,131
2021-09,2021-09-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 2 - Specialist,1471,1044,427,70.9,506,160,0
2021-09,2021-09-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 3 - Minor Injuries,1810,1196,614,66.0,313,191,0
2021-09,2021-09-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,8006,6296,1710,78.6,1768,133,174
2021-09,2021-09-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 2 - Specialist,2758,2431,327,88.1,619,83,0
2021-09,2021-09-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 3 - Minor Injuries,1511,1114,397,73.7,430,140,0
2021-09,2021-09-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,4742,3438,1304,72.5,860,162,177
2021-09,2021-09-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 2 - Specialist,1895,1390,505,73.3,495,182,0
2021-09,2021-09-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 3 - Minor Injuries,635,568,67,89.3,123,41,0
2021-09,2021-09-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,10148,9245,903,91.1,2800,57,12
2021-09,2021-09-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 2 - Specialist,3812,3148,664,82.6,1129,116,0
2021-09,2021-09-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 3 - Minor Injuries,3813,3352,461,87.9,1216,87,0
2021-09,2021-09-01,South West,University Hospitals Bristol,Type 1 - Major A&E,9644,8412,1232,87.2,3074,85,101
2021-09,2021-09-01,South West,University Hospitals Bristol,Type 2 - Specialist,937,738,199,78.7,147,99,0
2021-09,2021-09-01,South West,University Hospitals Bristol,Type 3 - Minor Injuries,3495,3358,137,96.1,800,33,0
2021-09,2021-09-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,11982,10326,1656,86.2,4066,71,94
2021-09,2021-09-01,South West,Royal Devon University Healthcare,Type 2 - Specialist,3228,2809,419,87.0,873,70,0
2021-09,2021-09-01,South West,Royal Devon University Healthcare,Type 3 - Minor Injuries,3913,2843,1070,72.6,728,152,0
2021-09,2021-09-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,3037,2241,796,73.8,708,154,15
2021-09,2021-09-01,South West,Plymouth Hospitals NHS Trust,Type 2 - Specialist,3787,3387,400,89.4,631,90,0
2021-09,2021-09-01,South West,Plymouth Hospitals NHS Trust,Type 3 - Minor Injuries,1060,711,349,67.1,286,200,0
2021-09,2021-09-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,12647,8726,3921,69.0,4362,210,155
2021-09,2021-09-01,East of England,Cambridge University Hospitals,Type 2 - Specialist,3567,3183,384,89.2,571,44,0
2021-09,2021-09-01,East of England,Cambridge University Hospitals,Type 3 - Minor Injuries,1292,916,376,70.9,344,149,0
2021-09,2021-09-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,7439,4982,2457,67.0,1707,206,2
2021-09,2021-09-01,East of England,Norfolk and Norwich,Type 2 - Specialist,1330,1102,228,82.8,234,127,0
2021-09,2021-09-01,East of England,Norfolk and Norwich,Type 3 - Minor Injuries,1025,819,206,79.8,318,107,0
2021-09,2021-09-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,7291,4613,2678,63.3,1375,243,135
2021-09,2021-09-01,East of England,Addenbrookes Hospital Trust,Type 2 - Specialist,562,399,163,70.9,158,195,0
2021-09,2021-09-01,East of England,Addenbrookes Hospital Trust,Type 3 - Minor Injuries,3790,3203,587,84.5,1094,114,0
2021-10,2021-10-01,London,Barts Health NHS Trust,Type 1 - Major A&E,10643,6769,3874,63.6,3535,216,86
2021-10,2021-10-01,London,Barts Health NHS Trust,Type 2 - Specialist,1316,886,430,67.3,242,219,0
2021-10,2021-10-01,London,Barts Health NHS Trust,Type 3 - Minor Injuries,3562,2699,863,75.8,991,143,0
2021-10,2021-10-01,London,Imperial College Healthcare,Type 1 - Major A&E,5490,3549,1941,64.6,945,219,70
2021-10,2021-10-01,London,Imperial College Healthcare,Type 2 - Specialist,2866,1842,1024,64.3,490,188,0
2021-10,2021-10-01,London,Imperial College Healthcare,Type 3 - Minor Injuries,1437,1010,427,70.3,225,191,0
2021-10,2021-10-01,London,Kings College Hospital,Type 1 - Major A&E,8879,6198,2681,69.8,1632,181,265
2021-10,2021-10-01,London,Kings College Hospital,Type 2 - Specialist,2990,2455,535,82.1,907,135,0
2021-10,2021-10-01,London,Kings College Hospital,Type 3 - Minor Injuries,2394,1876,518,78.4,598,114,0
2021-10,2021-10-01,London,Guy's and St Thomas',Type 1 - Major A&E,9970,6919,3051,69.4,1753,173,356
2021-10,2021-10-01,London,Guy's and St Thomas',Type 2 - Specialist,1937,1290,647,66.6,481,201,0
2021-10,2021-10-01,London,Guy's and St Thomas',Type 3 - Minor Injuries,832,699,133,84.0,225,69,0
2021-10,2021-10-01,London,University College London Hospitals,Type 1 - Major A&E,11782,7506,4276,63.7,4038,189,208
2021-10,2021-10-01,London,University College London Hospitals,Type 2 - Specialist,3155,2781,374,88.1,476,94,0
2021-10,2021-10-01,London,University College London Hospitals,Type 3 - Minor Injuries,2545,1503,1042,59.1,617,256,0
2021-10,2021-10-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,8966,7385,1581,82.4,1452,90,50
2021-10,2021-10-01,North West,Manchester University NHS Foundation Trust,Type 2 - Specialist,707,485,222,68.6,154,183,0
2021-10,2021-10-01,North West,Manchester University NHS Foundation Trust,Type 3 - Minor Injuries,3858,2458,1400,63.7,1059,243,0
2021-10,2021-10-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,7041,5690,1351,80.8,2003,120,35
2021-10,2021-10-01,North West,Liverpool University Hospitals,Type 2 - Specialist,1440,1235,205,85.7,448,91,0
2021-10,2021-10-01,North West,Liverpool University Hospitals,Type 3 - Minor Injuries,3602,2316,1286,64.3,934,220,0
2021-10,2021-10-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,10421,9404,1017,90.2,1877,33,109
2021-10,2021-10-01,North West,Lancashire Teaching Hospitals,Type 2 - Specialist,1987,1811,176,91.1,538,54,0
2021-10,2021-10-01,North West,Lancashire Teaching Hospitals,Type 3 - Minor Injuries,3550,3142,408,88.5,533,97,0
2021-10,2021-10-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,12259,10323,1936,84.2,3293,94,12
2021-10,2021-10-01,North West,Bolton NHS Foundation Trust,Type 2 - Specialist,2891,2415,476,83.5,631,99,0
2021-10,2021-10-01,North West,Bolton NHS Foundation Trust,Type 3 - Minor Injuries,2167,1678,489,77.4,462,131,0
2021-10,2021-10-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,3419,2420,999,70.8,1122,197,106
2021-10,2021-10-01,Midlands,University Hospitals Birmingham,Type 2 - Specialist,1290,838,452,64.9,403,192,0
2021-10,2021-10-01,Midlands,University Hospitals Birmingham,Type 3 - Minor Injuries,2888,2594,294,89.8,902,61,0
2021-10,2021-10-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,6975,6205,770,89.0,1590,36,36
2021-10,2021-10-01,Midlands,Nottingham University Hospitals,Type 2 - Specialist,2278,2100,178,92.2,526,69,0
2021-10,2021-10-01,Midlands,Nottingham University Hospitals,Type 3 - Minor Injuries,2155,1912,243,88.7,461,89,0
2021-10,2021-10-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,11209,9526,1683,85.0,2388,110,92
2021-10,2021-10-01,Midlands,University Hospitals of Leicester,Type 2 - Specialist,2633,2174,459,82.6,763,82,0
2021-10,2021-10-01,Midlands,University Hospitals of Leicester,Type 3 - Minor Injuries,2284,1846,438,80.8,625,97,0
2021-10,2021-10-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,9580,7015,2565,73.2,2963,172,75
2021-10,2021-10-01,Midlands,Coventry and Warwickshire,Type 2 - Specialist,2547,1961,586,77.0,533,120,0
2021-10,2021-10-01,Midlands,Coventry and Warwickshire,Type 3 - Minor Injuries,1461,1256,205,85.9,504,68,0
2021-10,2021-10-01,South East,Oxford University Hospitals,Type 1 - Major A&E,9326,7967,1359,85.4,1476,99,55
2021-10,2021-10-01,South East,Oxford University Hospitals,Type 2 - Specialist,3363,2504,859,74.4,1108,162,0
2021-10,2021-10-01,South East,Oxford University Hospitals,Type 3 - Minor Injuries,833,695,138,83.4,231,72,0
2021-10,2021-10-01,South East,Brighton and Sussex,Type 1 - Major A&E,13399,11279,2120,84.2,4533,100,6
2021-10,2021-10-01,South East,Brighton and Sussex,Type 2 - Specialist,1145,1084,61,94.7,241,53,0
2021-10,2021-10-01,South East,Brighton and Sussex,Type 3 - Minor Injuries,751,639,112,85.0,174,113,0
2021-10,2021-10-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,10683,7947,2736,74.4,2340,147,25
2021-10,2021-10-01,South East,Royal Surrey NHS Foundation Trust,Type 2 - Specialist,1905,1241,664,65.1,475,181,0
2021-10,2021-10-01,South East,Royal Surrey NHS Foundation Trust,Type 3 - Minor Injuries,1171,1103,68,94.1,281,30,0
2021-10,2021-10-01,South East,East Kent Hospitals,Type 1 - Major A&E,3748,3102,646,82.7,905,130,5
2021-10,2021-10-01,South East,East Kent Hospitals,Type 2 - Specialist,3626,2940,686,81.1,687,92,0
2021-10,2021-10-01,South East,East Kent Hospitals,Type 3 - Minor Injuries,1121,845,276,75.3,362,150,0
2021-10,2021-10-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,5372,4224,1148,78.6,1471,151,10
2021-10,2021-10-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 2 - Specialist,2642,2360,282,89.3,578,52,0
2021-10,2021-10-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 3 - Minor Injuries,2850,1933,917,67.8,945,180,0
2021-10,2021-10-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,8106,5301,2805,65.4,1917,180,258
2021-10,2021-10-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 2 - Specialist,788,613,175,77.7,149,124,0
2021-10,2021-10-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 3 - Minor Injuries,3883,3430,453,88.3,820,46,0
2021-10,2021-10-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,9043,8441,602,93.3,1676,30,54
2021-10,2021-10-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 2 - Specialist,3135,2551,584,81.4,476,122,0
2021-10,2021-10-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 3 - Minor Injuries,2489,2176,313,87.4,543,98,0
2021-10,2021-10-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,3238,2325,913,71.8,713,140,88
2021-10,2021-10-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 2 - Specialist,641,547,94,85.2,145,94,0
2021-10,2021-10-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 3 - Minor Injuries,1699,1181,518,69.5,535,169,0
2021-10,2021-10-01,South West,University Hospitals Bristol,Type 1 - Major A&E,14246,12415,1831,87.1,4490,52,128
2021-10,2021-10-01,South West,University Hospitals Bristol,Type 2 - Specialist,3080,2488,592,80.8,795,112,0
2021-10,2021-10-01,South West,University Hospitals Bristol,Type 3 - Minor Injuries,702,580,122,82.6,131,105,0
2021-10,2021-10-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,10730,9213,1517,85.9,2096,92,85
2021-10,2021-10-01,South West,Royal Devon University Healthcare,Type 2 - Specialist,1354,966,388,71.3,269,176,0
2021-10,2021-10-01,South West,Royal Devon University Healthcare,Type 3 - Minor Injuries,1899,1494,405,78.6,430,152,0
2021-10,2021-10-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,12887,9572,3315,74.3,2116,146,258
2021-10,2021-10-01,South West,Plymouth Hospitals NHS Trust,Type 2 - Specialist,3908,3309,599,84.7,624,76,0
2021-10,2021-10-01,South West,Plymouth Hospitals NHS Trust,Type 3 - Minor Injuries,1276,899,377,70.4,356,147,0
2021-10,2021-10-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,5549,4756,793,85.7,918,66,117
2021-10,2021-10-01,East of England,Cambridge University Hospitals,Type 2 - Specialist,2139,1636,503,76.5,474,153,0
2021-10,2021-10-01,East of England,Cambridge University Hospitals,Type 3 - Minor Injuries,644,561,83,87.0,145,60,0
2021-10,2021-10-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,4615,3084,1531,66.8,1284,195,175
2021-10,2021-10-01,East of England,Norfolk and Norwich,Type 2 - Specialist,2661,1704,957,64.0,493,218,0
2021-10,2021-10-01,East of England,Norfolk and Norwich,Type 3 - Minor Injuries,2646,2209,437,83.5,563,98,0
2021-10,2021-10-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,13308,8572,4736,64.4,4118,184,417
2021-10,2021-10-01,East of England,Addenbrookes Hospital Trust,Type 2 - Specialist,3351,2870,481,85.6,690,112,0
2021-10,2021-10-01,East of England,Addenbrookes Hospital Trust,Type 3 - Minor Injuries,1752,1319,433,75.2,553,161,0
2021-11,2021-11-01,London,Barts Health NHS Trust,Type 1 - Major A&E,12812,9718,3094,75.8,2385,167,90
2021-11,2021-11-01,London,Barts Health NHS Trust,Type 2 - Specialist,2683,1936,747,72.1,849,195,0
2021-11,2021-11-01,London,Barts Health NHS Trust,Type 3 - Minor Injuries,1234,784,450,63.5,219,222,0
2021-11,2021-11-01,London,Imperial College Healthcare,Type 1 - Major A&E,4211,2993,1218,71.1,1470,158,115
2021-11,2021-11-01,London,Imperial College Healthcare,Type 2 - Specialist,908,547,361,60.2,308,228,0
2021-11,2021-11-01,London,Imperial College Healthcare,Type 3 - Minor Injuries,3476,2915,561,83.9,768,88,0
2021-11,2021-11-01,London,Kings College Hospital,Type 1 - Major A&E,8085,6779,1306,83.8,1606,86,92
2021-11,2021-11-01,London,Kings College Hospital,Type 2 - Specialist,1391,860,531,61.8,438,249,0
2021-11,2021-11-01,London,Kings College Hospital,Type 3 - Minor Injuries,1177,744,433,63.2,254,243,0
2021-11,2021-11-01,London,Guy's and St Thomas',Type 1 - Major A&E,5110,3343,1767,65.4,899,225,35
2021-11,2021-11-01,London,Guy's and St Thomas',Type 2 - Specialist,2757,1754,1003,63.6,514,245,0
2021-11,2021-11-01,London,Guy's and St Thomas',Type 3 - Minor Injuries,2003,1642,361,81.9,337,88,0
2021-11,2021-11-01,London,University College London Hospitals,Type 1 - Major A&E,4492,2885,1607,64.2,728,202,150
2021-11,2021-11-01,London,University College London Hospitals,Type 2 - Specialist,1739,1060,679,60.9,484,228,0
2021-11,2021-11-01,London,University College London Hospitals,Type 3 - Minor Injuries,2974,1909,1065,64.2,634,212,0
2021-11,2021-11-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,7905,5577,2328,70.5,1703,178,93
2021-11,2021-11-01,North West,Manchester University NHS Foundation Trust,Type 2 - Specialist,3332,2460,872,73.8,891,184,0
2021-11,2021-11-01,North West,Manchester University NHS Foundation Trust,Type 3 - Minor Injuries,3683,2324,1359,63.1,679,220,0
2021-11,2021-11-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,12853,9210,3643,71.7,4014,154,211
2021-11,2021-11-01,North West,Liverpool University Hospitals,Type 2 - Specialist,1719,1563,156,90.9,264,58,0
2021-11,2021-11-01,North West,Liverpool University Hospitals,Type 3 - Minor Injuries,2505,1955,550,78.0,707,102,0
2021-11,2021-11-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,6964,6555,409,94.1,1444,30,39
2021-11,2021-11-01,North West,Lancashire Teaching Hospitals,Type 2 - Specialist,671,583,88,86.8,130,90,0
2021-11,2021-11-01,North West,Lancashire Teaching Hospitals,Type 3 - Minor Injuries,1687,1360,327,80.6,508,137,0
2021-11,2021-11-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,3138,2297,841,73.2,1083,168,10
2021-11,2021-11-01,North West,Bolton NHS Foundation Trust,Type 2 - Specialist,3729,3187,542,85.4,672,76,0
2021-11,2021-11-01,North West,Bolton NHS Foundation Trust,Type 3 - Minor Injuries,3148,2348,800,74.6,741,149,0
2021-11,2021-11-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,4222,3014,1208,71.4,807,160,135
2021-11,2021-11-01,Midlands,University Hospitals Birmingham,Type 2 - Specialist,1462,957,505,65.4,488,200,0
2021-11,2021-11-01,Midlands,University Hospitals Birmingham,Type 3 - Minor Injuries,3880,3464,416,89.3,1238,82,0
2021-11,2021-11-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,8977,6604,2373,73.6,1458,174,95
2021-11,2021-11-01,Midlands,Nottingham University Hospitals,Type 2 - Specialist,2158,1655,503,76.6,701,154,0
2021-11,2021-11-01,Midlands,Nottingham University Hospitals,Type 3 - Minor Injuries,1526,1281,245,83.9,507,83,0
2021-11,2021-11-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,9688,6724,2964,69.4,2750,163,226
2021-11,2021-11-01,Midlands,University Hospitals of Leicester,Type 2 - Specialist,3614,2295,1319,63.5,545,239,0
2021-11,2021-11-01,Midlands,University Hospitals of Leicester,Type 3 - Minor Injuries,1166,996,170,85.4,364,76,0
2021-11,2021-11-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,6067,5127,940,84.5,1765,70,95
2021-11,2021-11-01,Midlands,Coventry and Warwickshire,Type 2 - Specialist,1222,982,240,80.3,393,88,0
2021-11,2021-11-01,Midlands,Coventry and Warwickshire,Type 3 - Minor Injuries,2190,1409,781,64.3,687,225,0
2021-11,2021-11-01,South East,Oxford University Hospitals,Type 1 - Major A&E,9126,6993,2133,76.6,1930,126,147
2021-11,2021-11-01,South East,Oxford University Hospitals,Type 2 - Specialist,2004,1895,109,94.5,461,30,0
2021-11,2021-11-01,South East,Oxford University Hospitals,Type 3 - Minor Injuries,965,833,132,86.3,203,103,0
2021-11,2021-11-01,South East,Brighton and Sussex,Type 1 - Major A&E,8886,7501,1385,84.4,3041,77,179
2021-11,2021-11-01,South East,Brighton and Sussex,Type 2 - Specialist,2729,2078,651,76.1,572,136,0
2021-11,2021-11-01,South East,Brighton and Sussex,Type 3 - Minor Injuries,1989,1271,718,63.9,514,186,0
2021-11,2021-11-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,11583,8466,3117,73.1,2943,184,216
2021-11,2021-11-01,South East,Royal Surrey NHS Foundation Trust,Type 2 - Specialist,3284,2157,1127,65.7,803,211,0
2021-11,2021-11-01,South East,Royal Surrey NHS Foundation Trust,Type 3 - Minor Injuries,1527,1207,320,79.0,354,117,0
2021-11,2021-11-01,South East,East Kent Hospitals,Type 1 - Major A&E,15220,12436,2784,81.7,3677,136,19
2021-11,2021-11-01,South East,East Kent Hospitals,Type 2 - Specialist,3707,2767,940,74.6,1294,126,0
2021-11,2021-11-01,South East,East Kent Hospitals,Type 3 - Minor Injuries,3793,2650,1143,69.9,723,154,0
